Name,Type,Faction,Category,Legendary,Dedication,Cost,Initiative,Backlash,Damage,Defense,Mentality,Tenacity,Effect1,Effect2,Effect3,,
Armor Plating,Attachment,Asylum,Mechanical,No,1,2,,,,,,,Give A Dreamshape Armor[2],,,,
Extender,Attachment,Asylum,Mechanical,No,1,1,,,,,,,Give A Dreamshape Branch,,,,
Life Shield,Attachment,Asylum,Flora,No,2,2,,,,,,,Destroy This Attachment To Negate 1 Combat Damage Source,,,,
Agility Training,Attachment,Authority,Mechanical,No,1,1,,,,,,,Give A Dreamshape Swift,,,,
Combustion Weapon,Attachment,Authority,Animalistic,No,1,5,,,,,,,Give A Dreamshape Overkill,,,,
Coerce,Attachment,Authority,Animalistic,No,1,0,,,,,,,Increase A Dreamshape's Attack By 1,,,,
Duplicate Weapon,Attachment,Authority,Animalistic,No,1,5,,,,,,,Give A Dreamshape Bash,,,,
Grenades,Attachment,Authority,Mechanical,No,1,4,,,,,,,Give A Dreamshape Ranged,,,,
Loot,Attachment,Authority,Void,No,1,1,,,,,,,Give A Dreamshape Kill[Gain 2 Energy],,,,
Morale Boost,Attachment,Authority,Elemental,No,1,2,,,,,,,Give A Dreamshape Revitalize[2],,,,
Supply,Attachment,Authority,Void,No,1,2,,,,,,,Give A Dreamshape Recharge[2],,,,
Explosives,Attachment,Havoc,Void,No,1,2,,,,,,,Give A Dreamshape Trash[2],,,,
Assassin's Training,Attachment,Sect13,Shadow,No,2,4,,,,,,,Give A Dreamshape Lethal,,,,
Poison Daggers,Attachment,Sect13,Shadow,No,1,1,,,,,,,Give A Dreamshape Poison[2],,,,
Suckers,Attachment,Sect13,Elemental,No,1,3,,,,,,,Give A Dreamshape Drain[2],,,,
Clarity,Distort,Asylum,Void,No,1,2,,,,,,,Draw 2 Cards,,,,
Coin Of Life,Distort,Asylum,Flora,No,1,0,,,,,,,Gain 3 Morale,,,,
Conversion,Distort,Asylum,Void,No,3,2,,,,,,,All Of Your Unspent Energy At The End Of This Turn Becomes Morale,,,,
Dissolve,Distort,Asylum,Void,No,1,3,,,,,,,Negate All Enemy On Death Effects This Turn,,,,
Disruptor,Distort,Asylum,Void,No,1,2,,,,,,,No Warps Can Be Placed During Combat Phase This Turn,,,,
Engorged,Distort,Asylum,Flora,No,1,3,,,,,,,Enemy Dreamshape Converts All Attack Into Defense,,,,
Farsight,Distort,Asylum,Void,No,1,1,,,,,,,Shuffle Your Hand Into Your Deck; Draw The Same Number Of Cards,,,,
Marshmellows,Distort,Asylum,Flora,No,1,4,,,,,,,"Create 2 Marshmellow Tokens (I1, B0, A0, D1) In An Available Space; Gain 1 Energy For Each Marshmellow Token Placed In An Enemy Space This Turn",,,,
No Honor,Distort,Asylum,Flora,No,1,1,,,,,,,Remove 3 Backlash From A Dreamshape,,,,
Sweep,Distort,Asylum,Void,No,1,1,,,,,,,Return Dreamshape To Owner's Hand Ignoring Death Rules; Must Pay The Cost Of The Dreamshape; 3 Less Cost For Ally Dreamshapes,,,,
Uncounterable,Distort,Asylum,Void,No,2,2,,,,,,,Next Played Card Does Not Have A Reaction Phase After Placement,,,,
Another Day,Distort,Authority,Void,No,2,7,,,,,,,Send Dreamshape To Bottom Of The Owner's Deck,,,,
Bank,Distort,Authority,Void,No,1,2,,,,,,,"Energy Left At The End Of This Turn Is Added To Your Energy Pool Next Turn; Once Played, No Energy Can Be Spent For The Rest Of The Turn",,,,
Coin Of Prosperity,Distort,Authority,Shadow,No,1,0,,,,,,,Gain 1 Energy Or Draw 1 Card,,,,
Construction,Distort,Authority,Void,No,1,3,,,,,,,Duplicate A Landmark To An Available Space,,,,
